DayOfYear,Records Affected
1,7575703
2,7558334
3,7570727
6,89025700
8,7604073
9,7609147
10,7615953
13,15248374
14,7626028
15,7627002
16,7630217
17,7635754
20,15180551
21,7668827
22,7669519
23,7669521
24,7674811
27,10981745
28,7686575
29,7688812
30,7691966
31,7587913
34,15168918
35,7586973
36,7588310
37,7592336
38,7594260
41,14670730
42,7336645
43,7339708
44,7371068
45,7374344
48,14374120
49,7189791
50,7192270
51,7195127
52,7196553
55,14407520
56,7165647
57,7167704
58,7171356
59,7176693
62,11919876
63,7196026
64,7199549
65,7198557
66,7202666
69,14417267
70,7211344
71,7213740
72,7215301
73,7217349
76,14444700
77,7236287
78,14474462
79,7237807
80,7239722
83,14491466
84,7246981
85,7265522
86,7268816
87,7238353
90,11886223
91,7239074
92,7238888
98,7289774
100,7299592
101,7308929
104,8749087
105,7311401
106,7314476
107,7316981
108,7318557
111,13684287
112,7323687
114,7325285
115,7332913
118,14674806
119,7338384
120,7293590
121,7296453
122,7295702
125,14605315
126,7311111
127,7313151
128,7314231
129,7317822
132,7323264
133,7326458
134,7327967
136,7330264
139,7334584
140,7334608
142,14676970
143,7254954
146,14524845
147,7263622
148,7263633
149,7267929
150,7268259
153,14551442
154,7282889
155,7309016
156,7313239
160,14641023
322,7295369
323,7034161
324,7033957
325,7035843
326,7037586
329,14085998
330,7044508
331,7046500
332,7024569
333,7027521
336,14051796
337,8129516
338,7241686
339,7277177
340,7297973
343,14701897
344,7382222
345,7416811
346,7437442
347,7455775
350,14972122
351,7504083
352,7511034
353,7524380
354,7537676
357,15138922
358,7580070
359,7593551
360,7595750
361,7595829
364,15203699
365,7570411
