"DayOfWeek","DayOfYear","Records Affected","Timestamp","WeekNbr"
6,45,1146172,2020-02-14T10:43:32.000Z,6
6,45,1146172,2020-02-14T10:43:32.000Z,6
6,45,1146172,2020-02-14T10:43:32.000Z,6
3,42,1144339,2020-02-11T09:59:07.000Z,6
3,42,1144339,2020-02-11T09:59:07.000Z,6
3,42,1144339,2020-02-11T09:59:07.000Z,6
4,43,1144635,2020-02-12T09:54:41.000Z,6
4,43,1144635,2020-02-12T09:54:41.000Z,6
4,43,1144635,2020-02-12T09:54:41.000Z,6
7,39,1142514,2020-02-08T09:58:16.000Z,5
7,39,1142514,2020-02-08T09:58:16.000Z,5
7,39,1142514,2020-02-08T09:58:16.000Z,5
7,46,1146117,2020-02-15T10:16:37.000Z,6
7,46,1146117,2020-02-15T10:16:37.000Z,6
7,46,1146117,2020-02-15T10:16:37.000Z,6
2,48,1141443,2020-02-17T09:43:55.000Z,7
2,48,1141443,2020-02-17T09:43:55.000Z,7
2,48,1141443,2020-02-17T09:43:55.000Z,7
5,44,1145575,2020-02-13T10:08:29.000Z,6
5,44,1145575,2020-02-13T10:08:29.000Z,6
5,44,1145575,2020-02-13T10:08:29.000Z,6
3,70,1158906,2020-03-10T08:07:29.000Z,10
3,70,1158906,2020-03-10T08:07:29.000Z,10
3,70,1158906,2020-03-10T08:07:29.000Z,10
6,38,1142548,2020-02-07T10:00:19.000Z,5
6,38,1142548,2020-02-07T10:00:19.000Z,5
6,38,1142548,2020-02-07T10:00:19.000Z,5
4,36,1141615,2020-02-05T09:51:06.000Z,5
4,36,1141615,2020-02-05T09:51:06.000Z,5
4,36,1141615,2020-02-05T09:51:06.000Z,5
5,37,1142124,2020-02-06T10:05:18.000Z,5
5,37,1142124,2020-02-06T10:05:18.000Z,5
5,37,1142124,2020-02-06T10:05:18.000Z,5
3,35,1140653,2020-02-04T09:48:43.000Z,5
3,35,1140653,2020-02-04T09:48:43.000Z,5
2,34,1134675,2020-02-03T09:32:32.000Z,5
2,34,1134675,2020-02-03T09:32:32.000Z,5
7,32,1139480,2020-02-01T10:13:34.000Z,4
7,32,1139480,2020-02-01T10:13:34.000Z,4
7,32,1139480,2020-02-01T10:13:34.000Z,4
6,31,1139428,2020-01-31T09:48:22.000Z,4
6,31,1139428,2020-01-31T09:48:22.000Z,4
6,31,1139428,2020-01-31T09:48:22.000Z,4
3,28,1136904,2020-01-28T09:53:01.000Z,4
3,28,1136904,2020-01-28T09:53:01.000Z,4
3,28,1136904,2020-01-28T09:53:01.000Z,4
4,29,1137770,2020-01-29T09:51:27.000Z,4
4,29,1137770,2020-01-29T09:51:27.000Z,4
4,29,1137770,2020-01-29T09:51:27.000Z,4
5,30,1138371,2020-01-30T10:06:03.000Z,4
5,30,1138371,2020-01-30T10:06:03.000Z,4
5,30,1138371,2020-01-30T10:06:03.000Z,4
7,313,1104458,2019-11-09T09:54:40.000Z,44
7,313,1104458,2019-11-09T09:54:40.000Z,44
7,313,1104458,2019-11-09T09:54:40.000Z,44
2,315,1099571,2019-11-11T09:55:40.000Z,45
2,315,1099571,2019-11-11T09:55:40.000Z,45
2,315,1099571,2019-11-11T09:55:40.000Z,45
3,316,1105868,2019-11-12T09:42:19.000Z,45
3,316,1105868,2019-11-12T09:42:19.000Z,45
3,316,1105868,2019-11-12T09:42:19.000Z,45
4,310,1103577,2019-11-06T09:53:21.000Z,44
4,310,1103577,2019-11-06T09:53:21.000Z,44
4,310,1103577,2019-11-06T09:53:21.000Z,44
5,311,1103795,2019-11-07T09:47:37.000Z,44
5,311,1103795,2019-11-07T09:47:37.000Z,44
5,311,1103795,2019-11-07T09:47:37.000Z,44
6,305,1101456,2019-11-01T08:49:31.000Z,43
6,305,1101456,2019-11-01T08:49:31.000Z,43
6,305,1101456,2019-11-01T08:49:31.000Z,43
7,306,1101426,2019-11-02T08:44:04.000Z,43
7,306,1101426,2019-11-02T08:44:04.000Z,43
7,306,1101426,2019-11-02T08:44:04.000Z,43
3,309,1103280,2019-11-05T09:48:55.000Z,44
3,309,1103280,2019-11-05T09:48:55.000Z,44
3,309,1103280,2019-11-05T09:48:55.000Z,44
5,304,1101400,2019-10-31T08:55:31.000Z,43
5,304,1101400,2019-10-31T08:55:31.000Z,43
5,304,1101400,2019-10-31T08:55:31.000Z,43
7,166,1040234,2019-06-15T08:41:22.000Z,23
6,179,1046301,2019-06-28T08:43:17.000Z,25
4,177,1045725,2019-06-26T08:45:46.000Z,25
5,178,1046139,2019-06-27T08:40:20.000Z,25
3,176,1044979,2019-06-25T08:41:07.000Z,25
7,173,1043156,2019-06-22T08:47:32.000Z,24
2,175,1038809,2019-06-24T08:44:00.000Z,25
6,172,1043348,2019-06-21T08:34:07.000Z,24
4,170,1042667,2019-06-19T08:40:53.000Z,24
5,171,1042918,2019-06-20T08:35:11.000Z,24
3,169,1041936,2019-06-18T08:47:27.000Z,24
7,180,1046497,2019-06-29T08:44:38.000Z,25
3,302,1100233,2019-10-29T08:54:54.000Z,43
3,302,1100233,2019-10-29T08:54:54.000Z,43
3,302,1100233,2019-10-29T08:54:54.000Z,43
6,186,1048607,2019-07-05T08:40:37.000Z,26
4,184,1048893,2019-07-03T08:29:03.000Z,26
5,297,1097955,2019-10-24T08:59:48.000Z,42
5,297,1097955,2019-10-24T08:59:48.000Z,42
5,297,1097955,2019-10-24T08:59:48.000Z,42
6,298,1098357,2019-10-25T08:45:51.000Z,42
6,298,1098357,2019-10-25T08:45:51.000Z,42
6,298,1098357,2019-10-25T08:45:51.000Z,42
3,295,1096287,2019-10-22T08:53:04.000Z,42
